"","i","con.e","con.se","tre.e","tre.se"
"360",360,144.809,41.003,179.47,49.743
"361",361,223.762,35.148,118.095,39.797
"362",362,189.994,27.674,184.702,45.249
"363",363,152.632,37.698,178.881,39.42
"364",364,104.802,29.526,228.547,26.659
"365",365,269.213,36.018,201.175,40.692
"366",366,195.119,43.918,224.974,43.158
"367",367,214.985,43.146,189.145,41.714
"368",368,213.745,36.49,210.562,42.5
"369",369,143.37,36.053,220.182,39.662
"370",370,213.381,44.736,261.08,42.227
"371",371,173.732,36.692,256.622,30.699
"372",372,172.265,43.579,190.966,38.153
"373",373,204.628,40.774,122.912,35.73
"374",374,124.219,34.776,175.338,41.11
"375",375,268.591,30.701,262.145,35.591
"376",376,190.64,39.285,196.247,42.412
"377",377,245.079,33.63,196.904,41.275
"378",378,132.226,40.306,182.814,42.429
"379",379,246.776,39.982,179.855,40.521
"380",380,198.849,39.03,238.008,36.272
"381",381,182.464,35.825,213.764,44.07
"382",382,256.985,41.499,129.894,36.672
"383",383,179.238,46.916,165.3,44.236
"384",384,145.303,38.054,196.729,45.049
"385",385,202.725,42.586,127.189,39.628
"386",386,209.77,45.301,239.272,43.948
"387",387,202.747,31.959,227.016,30.162
"388",388,155.729,38.283,175.32,38.89
"389",389,216.241,42.649,171.384,41.867
"390",390,233.687,38.712,253.134,34.908
"391",391,114.833,35.663,158.737,45.139
"392",392,171.655,28.526,157.057,32.458
"393",393,215.549,35.486,258.974,39.215
"394",394,152.867,36.743,176.22,39.198
"395",395,243.531,47.124,260.317,40.717
"396",396,168.783,34.25,203.589,37.281
"397",397,292.766,42.084,251.478,39.629
"398",398,217.147,39.051,167.545,33.798
"399",399,209.887,44.288,195.698,43.377
"400",400,186.561,38.14,186.575,39.183
"401",401,203.459,39.918,178.194,33.591
"402",402,223.252,47.236,227.364,30.901
"403",403,317.026,27.24,271.916,36.716
"404",404,196.344,42.142,188.352,41.867
"405",405,135.031,42.502,165.536,49.632
"406",406,157.206,43.587,189.633,39.732
"407",407,136.748,32.513,194.567,38.53
"408",408,156.614,37.984,172.092,37.73
"409",409,246.974,33.011,171.72,43.487
"410",410,231.526,49.491,246.454,45.72
"411",411,230.924,39.917,185.426,33.007
"412",412,177.456,44.759,159.192,42.349
"413",413,174.35,45.05,140.059,36.916
"414",414,182.794,35.292,214.162,46.941
"415",415,182.888,42.798,285.362,38.002
"416",416,187.199,42.619,219.446,37.248
"417",417,183.95,41.197,171.354,41.833
"418",418,235.855,41.06,189.067,42.046
"419",419,159.399,36.653,239.847,47.341
"420",420,158.259,44.292,184.266,47.568
"421",421,187.343,37.352,212.847,33.679
"422",422,178.608,39.448,208.264,40.359
"423",423,171.575,48.82,179.67,47.628
"424",424,191.95,41.928,201.872,34.918
"425",425,194.163,27.872,108.198,24.35
"426",426,220.811,42.931,186.548,39.293
"427",427,162.662,44.955,202.815,38.603
"428",428,196.151,44.083,171.714,40.486
"429",429,217.518,45.458,185.611,41.253
"430",430,146.76,35.409,198.333,39.31
"431",431,306.35,35.081,224.681,42.914
"432",432,113.69,35.222,215.53,48.833
"433",433,140.571,39.897,212.156,42.532
"434",434,196.828,45.573,254.698,40.082
"435",435,201.594,45.24,138.348,37.971
"436",436,173.184,43.052,207.249,48.46
"437",437,161.23,38.003,207.772,37.491
"438",438,200.604,36.243,146.301,47.14
"439",439,145.464,31.883,128.449,30.114
"440",440,263.896,40.622,121.754,31.46
"441",441,163.409,39.838,170.856,45.34
"442",442,267.933,45.134,219.564,38.825
"443",443,182.952,42.452,236.71,41.95
"444",444,165.198,40.504,173.552,34.249
"445",445,193.366,46.031,183.094,42.456
"446",446,221.507,46.218,231.382,50.33
"447",447,182.303,42.847,132.836,38.868
"448",448,271.491,27.737,195.737,41.937
"449",449,145.467,31.668,148.114,37.836
"450",450,263.564,1.954,218.218,30.519
"451",451,123.914,40.16,236.219,34.448
"452",452,209.012,48.394,176.967,36.842
"453",453,277.374,24.522,181.665,31.27
"454",454,236.996,38.317,172.603,39.98
"455",455,200.481,39.064,189.325,42.386
"456",456,124.955,35.957,158.666,48.739
"457",457,138.793,31.104,109.117,32.566
"458",458,223.004,44.474,125.74,29.1
"459",459,219.927,43.243,194.528,45.027
"460",460,120.611,34.856,207.981,40.641
"461",461,183.59,37.964,161.334,36.929
"462",462,199.532,46.382,256.646,39.88
"463",463,193.23,46.655,186.97,37.516
"464",464,114.011,33.775,214.011,38.725
"465",465,216.243,46.058,152.116,47.865
"466",466,166.933,40.224,189.258,37.502
"467",467,136.936,38.209,233.332,42.97
"468",468,156.039,36.424,121.434,44.007
"469",469,116.498,39.555,192.86,41.849
"470",470,47.26,5.491,51.012,4.587
"471",471,153.1,31.131,89.675,20.791
"472",472,191.973,41.767,228.016,36.196
"473",473,282.743,37.034,211.589,43.892
"474",474,175.964,38.117,265.457,34.437
"475",475,191.992,41.543,187.601,44.423
"476",476,199.852,38.981,162.036,34.86
"477",477,165.823,46.723,230.313,43.134
"478",478,219.951,34.012,126.179,28.727
"479",479,230.994,40.893,227.174,39.778
"480",480,166.055,30.053,219.675,42.015
"481",481,173.086,46.235,205.362,42.009
"482",482,184.994,34.856,127.891,34.389
"483",483,256.136,38.636,222.967,44.431
"484",484,224.891,34.911,144.43,31.15
"485",485,249.573,37.558,131.796,37.762
"486",486,262.532,32.179,228.715,45.395
"487",487,139.159,36.073,175.225,39.158
"488",488,215.032,37.915,189.644,36.939
"489",489,111.672,33.129,203.501,38.788
"490",490,145.243,37.498,217.395,33.447
"491",491,189.598,51.258,201.051,50.391
"492",492,172.612,27.804,177.346,30.262
"493",493,49.218,1.055,47.63,2.541
"494",494,166.695,47.393,197.508,41.593
"495",495,159.283,45.57,171.251,47.516
"496",496,275.897,32.609,153.546,40.615
"497",497,190.238,36.108,183.48,37.26
"498",498,213.348,23.52,191.865,41.104
"499",499,225.415,44.575,226.882,41.204
"500",500,202.162,44.079,173.426,46.633
"501",501,276.304,28.678,171.466,44.834
"502",502,177.846,35.174,129.67,33.306
"503",503,169.331,42.308,248.11,38.509
"504",504,137.488,42.132,258.133,47.326
"505",505,142.818,42.13,131.313,36.682
"506",506,158.065,36.961,156.357,41.078
"507",507,93.462,33.718,141.447,33.413
"508",508,144.311,38.147,207.482,40.706
"509",509,235.916,42.433,245.107,45.415
"510",510,221.344,38.612,69.531,27.808
"511",511,220.865,44.826,230.715,45.607
"512",512,158.009,41.694,229.764,45.933
"513",513,223.141,39.283,230.999,39.852
"514",514,133.993,35.703,150.1,42.962
"515",515,192.16,41.18,190.937,36.193
"516",516,158.196,40.937,156.676,40.288
"517",517,203.961,44.761,197.391,37.809
"518",518,125.807,43.467,245.152,38.039
"519",519,229.457,41.345,220.728,39.307
"520",520,276.453,37.309,236.208,38.686
"521",521,179.62,33.629,252.693,37.759
